id,scope,category,expected_behavior,query
NTK500-V3-047,project,pr_sk,answer_from_project_sources,Как ПР строительного контроля описывает роли строительного контроля?
NTK500-V3-048,project,pr_sk,answer_from_project_sources,Как проектном решении СМР описывает акт устранения замечаний?
NTK500-V3-049,project,pr_sk,answer_from_project_sources,Как проектном решении СМР описывает связь замечания и предписания?
NTK500-V3-050,project,pr_sk,answer_from_project_sources,Какие источники подтверждают акт проверки?
NTK500-V3-051,project,pr_sk,answer_from_project_sources,Какие источники подтверждают журнал замечаний?
NTK500-V3-052,project,pr_sk,answer_from_project_sources,Какие источники подтверждают журнал предписаний?
NTK500-V3-053,project,pr_sk,answer_from_project_sources,Какие источники подтверждают печать форм?
NTK500-V3-054,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про акт устранения замечаний?
NTK500-V3-055,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про журнал предписаний?
NTK500-V3-056,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про ответственный за устранение?
NTK500-V3-057,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про печать форм?
NTK500-V3-058,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про создание предписания?
NTK500-V3-059,project,pr_sk,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про срок устранения?
NTK500-V3-060,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «акт проверки» в ПР СМР?"
NTK500-V3-061,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «акт устранения замечаний» в ПР СМР?"
NTK500-V3-062,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «обязательные атрибуты карточки» в ПР строительного контроля?"
NTK500-V3-063,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «ответственный за устранение» в ПР СМР?"
NTK500-V3-064,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «переходы статусов замечания» в проектном решении СМР?"
NTK500-V3-065,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «права доступа по ролям» в ПР СМР?"
NTK500-V3-066,project,pr_sk,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «роли строительного контроля» в ПР строительного контроля?"
NTK500-V3-067,project,pr_sk,answer_from_project_sources,Какие сведения о акт проверки нужно брать из проектном решении СМР?
NTK500-V3-068,project,pr_sk,answer_from_project_sources,Какие сведения о возврат замечания на доработку нужно брать из ПР СМР?
NTK500-V3-069,project,pr_sk,answer_from_project_sources,Какие сведения о возврат замечания на доработку нужно брать из проектном решении СМР?
NTK500-V3-070,project,pr_sk,answer_from_project_sources,Какие сведения о журнал замечаний нужно брать из проектном решении СМР?
NTK500-V3-071,project,pr_sk,answer_from_project_sources,Какие сведения о история изменений нужно брать из проектном решении СМР?
NTK500-V3-072,project,pr_sk,answer_from_project_sources,Какие сведения о ответственный за устранение нужно брать из ПР СМР?
NTK500-V3-073,project,pr_sk,answer_from_project_sources,Какие сведения о печать форм нужно брать из ПР СМР?
NTK500-V3-074,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают акт проверки в ПР СМР?
NTK500-V3-075,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают акт проверки в проектном решении СМР?
NTK500-V3-076,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают акт устранения замечаний в проектном решении СМР?
NTK500-V3-077,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают журнал предписаний в проектном решении СМР?
NTK500-V3-078,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают права доступа по ролям в ПР строительного контроля?
NTK500-V3-079,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают связь замечания и предписания в ПР строительного контроля?
NTK500-V3-080,project,pr_sk,answer_from_project_sources,Какие требования или правила описывают фиксация замечания в проектном решении СМР?
NTK500-V3-081,project,pr_sk,answer_from_project_sources,Что в ПР СМР указано про акт проверки?
NTK500-V3-082,project,pr_sk,answer_from_project_sources,Что в ПР СМР указано про фиксация замечания?
NTK500-V3-083,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про акт устранения замечаний?
NTK500-V3-084,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про аннулирование замечания?
NTK500-V3-085,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про журнал замечаний?
NTK500-V3-086,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про журнал предписаний?
NTK500-V3-087,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про ответственный за устранение?
NTK500-V3-088,project,pr_sk,answer_from_project_sources,Что в ПР строительного контроля указано про срок устранения?
NTK500-V3-089,project,pr_sk,answer_from_project_sources,Что в проектном решении СМР указано про срок устранения?
NTK500-V3-090,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР СМР, если вопрос касается акт устранения замечаний?"
NTK500-V3-091,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР СМР, если вопрос касается переходы статусов замечания?"
NTK500-V3-092,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР СМР, если вопрос касается печать форм?"
NTK500-V3-093,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР строительного контроля, если вопрос касается журнал предписаний?"
NTK500-V3-094,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР строительного контроля, если вопрос касается права доступа по ролям?"
NTK500-V3-095,project,pr_sk,answer_from_project_sources,"Что нужно проверить в ПР строительного контроля, если вопрос касается создание предписания?"
NTK500-V3-096,project,cta,answer_from_project_sources,Как ЦТА описывает Kubernetes?
NTK500-V3-097,project,cta,answer_from_project_sources,Как ЦТА описывает RabbitMQ?
NTK500-V3-098,project,cta,answer_from_project_sources,Как архитектурной документации описывает Blitz IDP?
NTK500-V3-099,project,cta,answer_from_project_sources,Как архитектурной документации описывает NGINX?
NTK500-V3-100,project,cta,answer_from_project_sources,Как архитектурной документации описывает трассировка?
NTK500-V3-101,project,cta,answer_from_project_sources,Как целевой технической архитектуре описывает Active Directory?
NTK500-V3-102,project,cta,answer_from_project_sources,Какие источники подтверждают Kubernetes?
NTK500-V3-103,project,cta,answer_from_project_sources,Какие источники подтверждают MinIO/S3?
NTK500-V3-104,project,cta,answer_from_project_sources,Какие источники подтверждают NGINX?
NTK500-V3-105,project,cta,answer_from_project_sources,Какие источники подтверждают внешние интеграции?
NTK500-V3-106,project,cta,answer_from_project_sources,Какие источники подтверждают мониторинг?
NTK500-V3-107,project,cta,answer_from_project_sources,Какие источники подтверждают продуктивный контур?
NTK500-V3-108,project,cta,answer_from_project_sources,Какие источники подтверждают сетевые порты?
NTK500-V3-109,project,cta,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про RabbitMQ?
NTK500-V3-110,project,cta,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «PostgreSQL» в ЦТА?"
NTK500-V3-111,project,cta,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «RabbitMQ» в ЦТА?"
NTK500-V3-112,project,cta,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «восстановление после сбоя» в архитектурной документации?"
NTK500-V3-113,project,cta,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «продуктивный контур» в архитектурной документации?"
NTK500-V3-114,project,cta,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «сетевые порты» в целевой технической архитектуре?"
NTK500-V3-115,project,cta,answer_from_project_sources,Какие сведения о Redis нужно брать из архитектурной документации?
NTK500-V3-116,project,cta,answer_from_project_sources,Какие сведения о SIEM нужно брать из ЦТА?
NTK500-V3-117,project,cta,answer_from_project_sources,Какие сведения о продуктивный контур нужно брать из целевой технической архитектуре?
NTK500-V3-118,project,cta,answer_from_project_sources,Какие сведения о резервное копирование нужно брать из целевой технической архитектуре?
NTK500-V3-119,project,cta,answer_from_project_sources,Какие требования или правила описывают Active Directory в целевой технической архитектуре?
NTK500-V3-120,project,cta,answer_from_project_sources,Какие требования или правила описывают Blitz IDP в архитектурной документации?
NTK500-V3-121,project,cta,answer_from_project_sources,Какие требования или правила описывают Blitz IDP в целевой технической архитектуре?
NTK500-V3-122,project,cta,answer_from_project_sources,Какие требования или правила описывают MinIO/S3 в архитектурной документации?
NTK500-V3-123,project,cta,answer_from_project_sources,Какие требования или правила описывают RTO/RPO в ЦТА?
NTK500-V3-124,project,cta,answer_from_project_sources,Какие требования или правила описывают SIEM в целевой технической архитектуре?
NTK500-V3-125,project,cta,answer_from_project_sources,Какие требования или правила описывают мониторинг в архитектурной документации?
NTK500-V3-126,project,cta,answer_from_project_sources,Какие требования или правила описывают резервное копирование в ЦТА?
NTK500-V3-127,project,cta,answer_from_project_sources,Что в ЦТА указано про Blitz IDP?
NTK500-V3-128,project,cta,answer_from_project_sources,Что в ЦТА указано про Kubernetes?
NTK500-V3-129,project,cta,answer_from_project_sources,Что в ЦТА указано про NGINX?
NTK500-V3-130,project,cta,answer_from_project_sources,Что в ЦТА указано про сетевые порты?
NTK500-V3-131,project,cta,answer_from_project_sources,Что в архитектурной документации указано про мониторинг?
NTK500-V3-132,project,cta,answer_from_project_sources,Что в архитектурной документации указано про резервное копирование?
NTK500-V3-133,project,cta,answer_from_project_sources,Что в архитектурной документации указано про сетевые порты?
NTK500-V3-134,project,cta,answer_from_project_sources,Что в целевой технической архитектуре указано про Active Directory?
NTK500-V3-135,project,cta,answer_from_project_sources,Что в целевой технической архитектуре указано про серверы продуктивного контура?
NTK500-V3-136,project,cta,answer_from_project_sources,"Что нужно проверить в ЦТА, если вопрос касается NGINX?"
NTK500-V3-137,project,cta,answer_from_project_sources,"Что нужно проверить в ЦТА, если вопрос касается продуктивный контур?"
NTK500-V3-138,project,cta,answer_from_project_sources,"Что нужно проверить в ЦТА, если вопрос касается резервное копирование?"
NTK500-V3-139,project,cta,answer_from_project_sources,"Что нужно проверить в архитектурной документации, если вопрос касается серверы продуктивного контура?"
NTK500-V3-140,project,cta,answer_from_project_sources,"Что нужно проверить в целевой технической архитектуре, если вопрос касается Kubernetes?"
NTK500-V3-141,project,soi_ad,answer_from_project_sources,Как СоИ AD описывает LDAPS?
NTK500-V3-142,project,soi_ad,answer_from_project_sources,Как документах по AD описывает права чтения LDAP-каталогов?
NTK500-V3-143,project,soi_ad,answer_from_project_sources,Как соглашении об интеграции Active Directory описывает авторизация пользователей?
NTK500-V3-144,project,soi_ad,answer_from_project_sources,Как соглашении об интеграции Active Directory описывает права чтения LDAP-каталогов?
NTK500-V3-145,project,soi_ad,answer_from_project_sources,Какие источники подтверждают LDAPS?
NTK500-V3-146,project,soi_ad,answer_from_project_sources,Какие источники подтверждают app_ccpm_ul_cc_01?
NTK500-V3-147,project,soi_ad,answer_from_project_sources,Какие источники подтверждают app_ccpm_ul_cc_02?
NTK500-V3-148,project,soi_ad,answer_from_project_sources,Какие источники подтверждают app_ccpm_ul_cc_03?
NTK500-V3-149,project,soi_ad,answer_from_project_sources,Какие источники подтверждают ошибки интеграции AD?
NTK500-V3-150,project,soi_ad,answer_from_project_sources,Какие источники подтверждают получение данных пользователя?
NTK500-V3-151,project,soi_ad,answer_from_project_sources,Какие источники подтверждают права чтения LDAP-каталогов?
NTK500-V3-152,project,soi_ad,answer_from_project_sources,Какие источники подтверждают сервисные учетные записи?
NTK500-V3-153,project,soi_ad,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про app_ccpm_ul_cc_03?
NTK500-V3-154,project,soi_ad,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про mapping групп AD к ролям?
NTK500-V3-155,project,soi_ad,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про ошибки интеграции AD?
NTK500-V3-156,project,soi_ad,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про получение данных пользователя?
NTK500-V3-157,project,soi_ad,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про сервисные учетные записи?
NTK500-V3-158,project,soi_ad,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «app_ccpm_ul_cc_03» в СоИ AD?"
NTK500-V3-159,project,soi_ad,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «атрибут groups» в СоИ AD?"
NTK500-V3-160,project,soi_ad,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «справочник групп AD» в соглашении об интеграции Active Directory?"
NTK500-V3-161,project,soi_ad,answer_from_project_sources,Какие сведения о app_ccpm_ul_cc_01 нужно брать из СоИ AD?
NTK500-V3-162,project,soi_ad,answer_from_project_sources,Какие сведения о mapping групп AD к ролям нужно брать из соглашении об интеграции Active Directory?
NTK500-V3-163,project,soi_ad,answer_from_project_sources,Какие сведения о права чтения LDAP-каталогов нужно брать из документах по AD?
NTK500-V3-164,project,soi_ad,answer_from_project_sources,Какие требования или правила описывают получение данных пользователя в документах по AD?
NTK500-V3-165,project,soi_ad,answer_from_project_sources,Какие требования или правила описывают права чтения LDAP-каталогов в СоИ AD?
NTK500-V3-166,project,soi_ad,answer_from_project_sources,Какие требования или правила описывают справочник групп AD в СоИ AD?
NTK500-V3-167,project,soi_ad,answer_from_project_sources,Что в СоИ AD указано про mapping групп AD к ролям?
NTK500-V3-168,project,soi_ad,answer_from_project_sources,Что в соглашении об интеграции Active Directory указано про mapping групп AD к ролям?
NTK500-V3-169,project,soi_ad,answer_from_project_sources,Что в соглашении об интеграции Active Directory указано про справочник групп AD?
NTK500-V3-170,project,soi_ad,answer_from_project_sources,"Что нужно проверить в СоИ AD, если вопрос касается app_ccpm_ul_cc_02?"
NTK500-V3-171,project,soi_ad,answer_from_project_sources,"Что нужно проверить в СоИ AD, если вопрос касается атрибут groups?"
NTK500-V3-172,project,soi_ad,answer_from_project_sources,"Что нужно проверить в документах по AD, если вопрос касается атрибут groups?"
NTK500-V3-173,project,soi_ad,answer_from_project_sources,"Что нужно проверить в документах по AD, если вопрос касается права чтения LDAP-каталогов?"
NTK500-V3-174,project,soi_ad,answer_from_project_sources,"Что нужно проверить в соглашении об интеграции Active Directory, если вопрос касается app_ccpm_ul_cc_03?"
NTK500-V3-175,project,soi_ad,answer_from_project_sources,"Что нужно проверить в соглашении об интеграции Active Directory, если вопрос касается права чтения LDAP-каталогов?"
NTK500-V3-176,project,soi_nsi,answer_from_project_sources,Как СоИ НСИ описывает должности?
NTK500-V3-177,project,soi_nsi,answer_from_project_sources,Как СоИ НСИ описывает структура сообщения справочника?
NTK500-V3-178,project,soi_nsi,answer_from_project_sources,Как СоИ Справочники описывает REST API MDR?
NTK500-V3-179,project,soi_nsi,answer_from_project_sources,Как интеграционных документах НСИ описывает маппинг атрибутов?
NTK500-V3-180,project,soi_nsi,answer_from_project_sources,Как интеграционных документах НСИ описывает подразделения?
NTK500-V3-181,project,soi_nsi,answer_from_project_sources,Какие источники подтверждают маппинг атрибутов?
NTK500-V3-182,project,soi_nsi,answer_from_project_sources,Какие источники подтверждают справочник контрагентов?
NTK500-V3-183,project,soi_nsi,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про Bearer Token?
NTK500-V3-184,project,soi_nsi,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про обработка ошибок?
NTK500-V3-185,project,soi_nsi,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про справочник контрагентов?
NTK500-V3-186,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «актуализация НСИ» в СоИ Справочники?"
NTK500-V3-187,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «должности» в СоИ Справочники?"
NTK500-V3-188,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «идентификаторы записей» в СоИ Справочники?"
NTK500-V3-189,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «обработка ошибок» в интеграционных документах НСИ?"
NTK500-V3-190,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «справочник единиц измерения» в СоИ Справочники?"
NTK500-V3-191,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «справочник контрагентов» в интеграционных документах НСИ?"
NTK500-V3-192,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «справочник организаций» в интеграционных документах НСИ?"
NTK500-V3-193,project,soi_nsi,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «формат ответа API» в СоИ Справочники?"
NTK500-V3-194,project,soi_nsi,answer_from_project_sources,Какие сведения о идентификаторы записей нужно брать из СоИ НСИ?
NTK500-V3-195,project,soi_nsi,answer_from_project_sources,Какие сведения о справочник контрагентов нужно брать из СоИ НСИ?
NTK500-V3-196,project,soi_nsi,answer_from_project_sources,Какие сведения о структура сообщения справочника нужно брать из СоИ НСИ?
NTK500-V3-197,project,soi_nsi,answer_from_project_sources,Какие сведения о структура сообщения справочника нужно брать из интеграционных документах НСИ?
NTK500-V3-198,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают REST API MDR в СоИ НСИ?
NTK500-V3-199,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают REST API MDR в интеграционных документах НСИ?
NTK500-V3-200,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают актуализация НСИ в СоИ НСИ?
NTK500-V3-201,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают обработка ошибок в СоИ НСИ?
NTK500-V3-202,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают объекты строительства в интеграционных документах НСИ?
NTK500-V3-203,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают справочник единиц измерения в СоИ НСИ?
NTK500-V3-204,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают справочник организаций в СоИ НСИ?
NTK500-V3-205,project,soi_nsi,answer_from_project_sources,Какие требования или правила описывают справочник организаций в интеграционных документах НСИ?
NTK500-V3-206,project,soi_nsi,answer_from_project_sources,Что в СоИ НСИ указано про идентификаторы записей?
NTK500-V3-207,project,soi_nsi,answer_from_project_sources,Что в СоИ НСИ указано про маппинг атрибутов?
NTK500-V3-208,project,soi_nsi,answer_from_project_sources,Что в СоИ Справочники указано про Bearer Token?
NTK500-V3-209,project,soi_nsi,answer_from_project_sources,Что в СоИ Справочники указано про справочник контрагентов?
NTK500-V3-210,project,soi_nsi,answer_from_project_sources,Что в интеграционных документах НСИ указано про атрибутный состав?
NTK500-V3-211,project,soi_nsi,answer_from_project_sources,"Что нужно проверить в СоИ НСИ, если вопрос касается атрибутный состав?"
NTK500-V3-212,project,soi_nsi,answer_from_project_sources,"Что нужно проверить в СоИ Справочники, если вопрос касается Bearer Token?"
NTK500-V3-213,project,soi_nsi,answer_from_project_sources,"Что нужно проверить в СоИ Справочники, если вопрос касается актуализация НСИ?"
NTK500-V3-214,project,soi_nsi,answer_from_project_sources,"Что нужно проверить в СоИ Справочники, если вопрос касается формат ответа API?"
NTK500-V3-215,project,soi_nsi,answer_from_project_sources,"Что нужно проверить в интеграционных документах НСИ, если вопрос касается атрибутный состав?"
NTK500-V3-216,project,nsi_regulation_reference,answer_from_project_sources,Как методиках НСИ описывает ответственный за ведение?
NTK500-V3-217,project,nsi_regulation_reference,answer_from_project_sources,Как методиках НСИ описывает правила актуализации?
NTK500-V3-218,project,nsi_regulation_reference,answer_from_project_sources,Как регламентах НСИ описывает атрибутный состав справочника?
NTK500-V3-219,project,nsi_regulation_reference,answer_from_project_sources,Как регламентах НСИ описывает методика нормализации?
NTK500-V3-220,project,nsi_regulation_reference,answer_from_project_sources,Как реестре НСИ описывает контроль качества НСИ?
NTK500-V3-221,project,nsi_regulation_reference,answer_from_project_sources,Как реестре НСИ описывает реестр объектов НСИ?
NTK500-V3-222,project,nsi_regulation_reference,answer_from_project_sources,Какие источники подтверждают ответственный за ведение?
NTK500-V3-223,project,nsi_regulation_reference,answer_from_project_sources,Какие источники подтверждают паспорт объекта НСИ?
NTK500-V3-224,project,nsi_regulation_reference,answer_from_project_sources,Какие источники подтверждают правила актуализации?
NTK500-V3-225,project,nsi_regulation_reference,answer_from_project_sources,Какие источники подтверждают реестр объектов НСИ?
NTK500-V3-226,project,nsi_regulation_reference,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про СВОК РД?
NTK500-V3-227,project,nsi_regulation_reference,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про жизненный цикл справочника?
NTK500-V3-228,project,nsi_regulation_reference,answer_from_project_sources,Какие разделы документации нужно использовать для ответа про методика ведения данных справочника?
NTK500-V3-229,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «СВОК РД» в регламентах НСИ?"
NTK500-V3-230,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «атрибутный состав справочника» в регламентах НСИ?"
NTK500-V3-231,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «контроль исполнения регламента» в реестре НСИ?"
NTK500-V3-232,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «контроль качества НСИ» в методиках НСИ?"
NTK500-V3-233,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «контроль качества НСИ» в регламентах НСИ?"
NTK500-V3-234,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «методика ведения данных справочника» в методиках НСИ?"
NTK500-V3-235,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «методика нормализации» в реестре НСИ?"
NTK500-V3-236,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «модель данных НСИ» в методиках НСИ?"
NTK500-V3-237,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «паспорт объекта НСИ» в методиках НСИ?"
NTK500-V3-238,project,nsi_regulation_reference,answer_from_project_sources,"Какие роли, статусы или атрибуты связаны с темой «правила актуализации» в методиках НСИ?"
NTK500-V3-239,project,nsi_regulation_reference,answer_from_project_sources,Какие сведения о ответственный за ведение нужно брать из реестре НСИ?
NTK500-V3-240,project,nsi_regulation_reference,answer_from_project_sources,Какие требования или правила описывают контроль исполнения регламента в реестре НСИ?
NTK500-V3-241,project,nsi_regulation_reference,answer_from_project_sources,Что в методиках НСИ указано про атрибутный состав справочника?
NTK500-V3-242,project,nsi_regulation_reference,answer_from_project_sources,Что в регламентах НСИ указано про контроль исполнения регламента?
NTK500-V3-243,project,nsi_regulation_reference,answer_from_project_sources,Что в регламентах НСИ указано про паспорт объекта НСИ?
